,state,category,type,date,crimes,total_population,total_gdp,lat,lon,crime/pop,gdp/pop
1,Johor,assault,causing_injury,2016-01-01,708,3651.8,233461.09,1.980484069,103.2202231,19.39%,63.93
2,Johor,assault,causing_injury,2017-01-01,614,3697,247167.002,1.980484069,103.2202231,16.61%,66.86
3,Johor,assault,causing_injury,2018-01-01,578,3749.4,261198.304,1.980484069,103.2202231,15.42%,69.66
4,Johor,assault,causing_injury,2019-01-01,599,3761.2,268449.969,1.980484069,103.2202231,15.93%,71.37
5,Johor,assault,causing_injury,2020-01-01,447,4009.7,256064.203,1.980484069,103.2202231,11.15%,63.86
6,Johor,assault,causing_injury,2021-01-01,365,4020,262463.625,1.980484069,103.2202231,9.08%,65.29
7,Johor,assault,causing_injury,2022-01-01,333,4028.3,284814.632,1.980484069,103.2202231,8.27%,70.70
8,Johor,assault,causing_injury,2023-01-01,366,4107.2,296451.224,1.980484069,103.2202231,8.91%,72.18
9,Johor,assault,murder,2016-01-01,70,3651.8,233461.09,1.980484069,103.2202231,1.92%,63.93
10,Johor,assault,murder,2017-01-01,66,3697,247167.002,1.980484069,103.2202231,1.79%,66.86
11,Johor,assault,murder,2018-01-01,43,3749.4,261198.304,1.980484069,103.2202231,1.15%,69.66
12,Johor,assault,murder,2019-01-01,35,3761.2,268449.969,1.980484069,103.2202231,0.93%,71.37
13,Johor,assault,murder,2020-01-01,36,4009.7,256064.203,1.980484069,103.2202231,0.90%,63.86
14,Johor,assault,murder,2021-01-01,21,4020,262463.625,1.980484069,103.2202231,0.52%,65.29
15,Johor,assault,murder,2022-01-01,30,4028.3,284814.632,1.980484069,103.2202231,0.74%,70.70
16,Johor,assault,murder,2023-01-01,31,4107.2,296451.224,1.980484069,103.2202231,0.75%,72.18
17,Johor,assault,rape,2016-01-01,274,3651.8,233461.09,1.980484069,103.2202231,7.50%,63.93
18,Johor,assault,rape,2017-01-01,196,3697,247167.002,1.980484069,103.2202231,5.30%,66.86
19,Johor,assault,rape,2018-01-01,187,3749.4,261198.304,1.980484069,103.2202231,4.99%,69.66
20,Johor,assault,rape,2019-01-01,206,3761.2,268449.969,1.980484069,103.2202231,5.48%,71.37
21,Johor,assault,rape,2020-01-01,164,4009.7,256064.203,1.980484069,103.2202231,4.09%,63.86
22,Johor,assault,rape,2021-01-01,144,4020,262463.625,1.980484069,103.2202231,3.58%,65.29
23,Johor,assault,rape,2022-01-01,147,4028.3,284814.632,1.980484069,103.2202231,3.65%,70.70
24,Johor,assault,rape,2023-01-01,194,4107.2,296451.224,1.980484069,103.2202231,4.72%,72.18
25,Johor,assault,robbery_gang_armed,2016-01-01,10,3651.8,233461.09,1.980484069,103.2202231,0.27%,63.93
26,Johor,assault,robbery_gang_armed,2017-01-01,1,3697,247167.002,1.980484069,103.2202231,0.03%,66.86
27,Johor,assault,robbery_gang_armed,2018-01-01,2,3749.4,261198.304,1.980484069,103.2202231,0.05%,69.66
28,Johor,assault,robbery_gang_armed,2019-01-01,1,3761.2,268449.969,1.980484069,103.2202231,0.03%,71.37
29,Johor,assault,robbery_gang_armed,2020-01-01,1,4009.7,256064.203,1.980484069,103.2202231,0.02%,63.86
30,Johor,assault,robbery_gang_armed,2021-01-01,1,4020,262463.625,1.980484069,103.2202231,0.02%,65.29
31,Johor,assault,robbery_gang_armed,2022-01-01,0,4028.3,284814.632,1.980484069,103.2202231,0.00%,70.70
32,Johor,assault,robbery_gang_armed,2023-01-01,0,4107.2,296451.224,1.980484069,103.2202231,0.00%,72.18
33,Johor,assault,robbery_gang_unarmed,2016-01-01,1308,3651.8,233461.09,1.980484069,103.2202231,35.82%,63.93
34,Johor,assault,robbery_gang_unarmed,2017-01-01,1220,3697,247167.002,1.980484069,103.2202231,33.00%,66.86
35,Johor,assault,robbery_gang_unarmed,2018-01-01,740,3749.4,261198.304,1.980484069,103.2202231,19.74%,69.66
36,Johor,assault,robbery_gang_unarmed,2019-01-01,753,3761.2,268449.969,1.980484069,103.2202231,20.02%,71.37
37,Johor,assault,robbery_gang_unarmed,2020-01-01,257,4009.7,256064.203,1.980484069,103.2202231,6.41%,63.86
38,Johor,assault,robbery_gang_unarmed,2021-01-01,256,4020,262463.625,1.980484069,103.2202231,6.37%,65.29
39,Johor,assault,robbery_gang_unarmed,2022-01-01,270,4028.3,284814.632,1.980484069,103.2202231,6.70%,70.70
40,Johor,assault,robbery_gang_unarmed,2023-01-01,394,4107.2,296451.224,1.980484069,103.2202231,9.59%,72.18
41,Johor,assault,robbery_solo_armed,2016-01-01,3,3651.8,233461.09,1.980484069,103.2202231,0.08%,63.93
42,Johor,assault,robbery_solo_armed,2017-01-01,0,3697,247167.002,1.980484069,103.2202231,0.00%,66.86
43,Johor,assault,robbery_solo_armed,2018-01-01,0,3749.4,261198.304,1.980484069,103.2202231,0.00%,69.66
44,Johor,assault,robbery_solo_armed,2019-01-01,1,3761.2,268449.969,1.980484069,103.2202231,0.03%,71.37
45,Johor,assault,robbery_solo_armed,2020-01-01,0,4009.7,256064.203,1.980484069,103.2202231,0.00%,63.86
46,Johor,assault,robbery_solo_armed,2021-01-01,0,4020,262463.625,1.980484069,103.2202231,0.00%,65.29
47,Johor,assault,robbery_solo_armed,2022-01-01,0,4028.3,284814.632,1.980484069,103.2202231,0.00%,70.70
48,Johor,assault,robbery_solo_armed,2023-01-01,0,4107.2,296451.224,1.980484069,103.2202231,0.00%,72.18
49,Johor,assault,robbery_solo_unarmed,2016-01-01,447,3651.8,233461.09,1.980484069,103.2202231,12.24%,63.93
50,Johor,assault,robbery_solo_unarmed,2017-01-01,481,3697,247167.002,1.980484069,103.2202231,13.01%,66.86
51,Johor,assault,robbery_solo_unarmed,2018-01-01,330,3749.4,261198.304,1.980484069,103.2202231,8.80%,69.66
52,Johor,assault,robbery_solo_unarmed,2019-01-01,328,3761.2,268449.969,1.980484069,103.2202231,8.72%,71.37
53,Johor,assault,robbery_solo_unarmed,2020-01-01,479,4009.7,256064.203,1.980484069,103.2202231,11.95%,63.86
